batch_index,direction,level,category,broken_idx,dist_traveled_50,ret_10,ret_20,ret_50
0,-1,0.9732400178909302,matched,34,0.005050017890930181,0.002550017890930123,0.0027800178909301865,0.0019200178909302146
1,-1,0.9693400263786316,matched,116,0.002280026378631561,-0.00256997362136846,0.0006300263786316318,-0.0013399736213683955
2,-1,0.9680799841880798,matched,124,0.0010199841880798033,-0.0010600158119201675,-0.002690015811920188,-0.008140015811920143
3,1,0.970300018787384,matched,137,0.007169981212615917,-0.0004100187873840033,0.0019899812126159544,0.0007499812126159355
4,-1,0.9700899720191956,matched,203,0.001829972019195547,0.00020997201919559227,0.00025997201919558677,-0.0009700279808044776
5,-1,0.9690300226211548,matched,210,0.0007700226211547756,-0.0009399773788452137,-0.0030799773788452445,-0.0013499773788452352
6,-1,0.9695600271224976,matched,259,0.002780027122497586,-0.0016299728775024391,-0.0002899728775024313,-0.0005099728775024293
7,-1,0.968720018863678,matched,261,0.0019400188636780058,-0.00034998113632200845,-0.0021999811363220267,-0.0017999811363220708
8,1,0.9709699749946594,missed,276,0.0012400250053405948,-0.001179974994659383,-0.0005299749946594545,-0.0005099749946594345
9,-1,0.9696599841117859,matched,327,0.0011199841117859322,-0.0017400158882141525,-0.0005900158882140571,-0.0027200158882141334
10,1,0.9707000255584717,matched,335,0.009909974441528302,0.000709974441528316,0.0030999744415283192,0.007979974441528315
11,1,0.9744200110435486,matched,346,0.006189988956451398,-0.007610011043548637,0.0023199889564514686,0.003269988956451364
12,1,0.977869987487793,matched,402,0.0029500125122070564,0.0009100125122070146,-0.00025998748779298975,-0.00292998748779294
13,-1,0.9718800187110901,matched,444,0.0011800187110900806,-0.007189981288909908,-0.0018499812889098965,-0.0017299812889098876
14,1,0.9737399816513062,matched,489,0.0033300183486938417,0.0008600183486938695,-0.0002499816513061859,0.00011001834869384108
15,1,0.9770699739456177,matched,542,0.008150026054382309,0.0018100260543822966,0.007470026054382295,0.007490026054382315
16,1,0.9866499900817871,missed,614,0.0009200099182128385,-0.0037899900817871535,-0.003059990081787145,-0.0016499900817871227
17,1,0.9860399961471558,matched,670,0.0012000038528442447,0.00011000385284420933,-0.0004099961471557556,-0.002099996147155725
18,-1,0.9760500192642212,matched,784,0.0006100192642212177,-0.0004899807357787722,-0.002129980735778858,-0.004219980735778783
19,1,0.9828900098800659,missed,837,0.0016699901199340728,-0.0008800098800658684,-0.0036300098800658986,-0.005560009880065886
20,-1,0.9773399829864502,matched,876,0.002929982986450197,-0.00011001701354984572,0.00030998298645024125,0.0022199829864502085
21,-1,0.9763299822807312,matched,911,0.005829982280731172,-0.00019001771926885347,0.0016399822807312558,-0.008360017719268753
22,-1,0.983210027217865,matched,1002,0.002510027217864974,0.0005800272178649868,-0.0016099727821350385,-0.004119972782135051
23,1,0.9857900142669678,matched,1027,0.004069985733032189,0.0008899857330322281,0.001209985733032215,0.003149985733032268
24,1,0.988099992275238,matched,1061,0.001760007724761925,0.0003300077247619937,0.0002400077247619592,-0.0016799922752380736
25,-1,0.9877300262451172,matched,1088,0.002910026245117159,-0.00038997375488281083,0.001910026245117158,-0.007849973754882833
26,-1,0.9866399765014648,matched,1095,0.001819976501464815,0.0004699765014648527,0.0002999765014648492,-0.009780023498535129
27,-1,0.9954699873924255,matched,1166,0.00113998739242549,0.00039998739242552706,-0.0002500126075745124,-0.007090012607574359
28,1,1.0088900327682495,matched,1259,0.00043996723175054875,-0.0008000327682495811,-0.0006300327682495777,-0.0027300327682495684
29,-1,1.0028300285339355,matched,1309,0.007090028533935588,-0.0014499714660645147,0.005040028533935592,0.006420028533935529
30,-1,0.9972299933433533,matched,1331,0.001489993343353313,-0.0006900066566467578,0.0007399933433532846,-0.0014800066566467152
31,-1,0.9970499873161316,matched,1332,0.0013099873161316333,0.0007099873161315884,-5.0012683868394525e-05,-5.0012683868394525e-05
32,-1,0.9979900121688843,matched,1378,0.005340012168884245,0.001190012168884258,0.002010012168884301,0.004140012168884266
33,1,0.9964699745178223,matched,1401,0.002520025482177779,0.0012300254821777656,-0.002949974517822307,-0.0009499745178223051
34,1,0.9975699782371521,matched,1408,0.001420021762847945,-0.002529978237152064,-0.003429978237152076,-0.0027399782371521075
35,-1,0.9943299889564514,matched,1473,0.007029988956451461,-0.001000011043548632,0.0019199889564514017,0.006779988956451377
36,-1,0.9938300251960754,matched,1479,0.006530025196075484,-0.0008099748039245291,0.0012900251960754616,0.005530025196075483
37,-1,0.9914299845695496,matched,1499,0.004319984569549518,-0.0013200154304504608,0.0023499845695496013,0.0032499845695496132
38,-1,0.9888299703598022,matched,1508,0.0017199703598022031,0.0006999703598022933,0.0005299703598022898,-0.001210029640197785
39,1,0.9938799738883972,matched,1576,0.0015200261116027347,-0.0012299738883971845,0.00025002611160274135,-0.00614997388839722
40,1,0.9886199831962585,matched,1643,0.00208001680374148,-0.001469983196258573,5.001680374150386e-05,0.0018000168037414221
41,1,0.9889100193977356,matched,1650,0.0025999806022644067,-0.00030001939773560693,-0.0011500193977356243,-0.0019200193977355617
42,1,0.9907000064849854,missed,1692,0.006909993515014645,-0.0012200064849853254,-0.0026900064849852967,-0.008490006484985324
43,-1,0.9824299812316895,matched,1760,0.009409981231689457,0.004849981231689449,0.007559981231689439,0.007319981231689421
44,1,0.9955499768257141,matched,1957,0.007600023174285875,0.003110023174285881,0.002950023174285943,0.007550023174285991
45,-1,1.0006400346755981,matched,2039,0.0034700346755981437,0.00012003467559806857,0.002310034675598094,-0.008199965324401814
46,-1,1.005620002746582,matched,2155,0.00635000274658204,0.0010600027465821338,0.0012600027465821118,0.004820002746582119
47,-1,1.0034099817276,matched,2169,0.004139981727600106,-0.00033001827239997894,-0.0012500182724000108,0.0015799817276000994
48,1,1.0016000270843506,matched,2211,0.0026999729156493846,0.0008899729156495173,0.0010399729156493898,-0.00725002708435063
49,1,1.0039000511169434,matched,2266,0.014629948883056576,-0.006110051116943405,-0.009460051116943369,0.012879948883056658
50,1,1.018530011177063,matched,2293,0.004949988822936957,0.00018998882293708164,0.0012299888229370115,0.0033699888229370423
51,-1,1.0187499523162842,matched,2310,0.002459952316284264,0.00020995231628417876,-0.0004800476837159007,-0.011240047683715781
52,-1,1.0316200256347656,matched,2421,0.004480025634765683,0.000530025634765563,-0.002859974365234441,-0.0024299743652342887
53,1,1.0336300134658813,matched,2469,0.0022499865341185643,-5.001346588140443e-05,0.0015299865341187324,-0.0015700134658813703
54,-1,1.0315200090408325,matched,2506,0.000300009040832494,-0.0006899909591675524,-0.0013699909591675663,-0.009229990959167544
55,1,1.0418100357055664,matched,2542,0.006379964294433549,0.000689964294433576,0.0024799642944335343,-0.006840035705566461
56,-1,1.0339499711990356,matched,2597,0.0008999711990356207,-0.0037500288009644223,-0.003120028800964292,-0.008000028800964287
57,1,1.039680004119873,matched,2627,0.004189995880127029,0.002989995880126939,0.002269995880126885,-0.00014000411987313832
