time,Timestamp,Open,High,Low,Close,Volume,SwingHighLow,SwingLevel,SwingPivotIndex,BOS,CHOCH,BOSLevel,BrokenIndex,OB,OBTop,OBBottom,OBVolume,OBMitigatedIndex,OBPct,Liquidity,LiqLevel,LiqEnd,LiqSwept,RetraceDirection,CurrentRetracement%,DeepestRetracement%
2017-08-17 04:00:00,2017-08-17 04:00:00,4261.48,4349.99,4261.32,4349.99,82.08886499999997,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-17 08:00:00,2017-08-17 08:00:00,4333.32,4485.39,4333.32,4427.3,63.61988199999999,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-17 12:00:00,2017-08-17 12:00:00,4427.3,4485.39,4333.42,4352.34,174.56200099999998,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-17 16:00:00,2017-08-17 16:00:00,4352.34,4354.84,4200.74,4325.23,225.109716,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-17 20:00:00,2017-08-17 20:00:00,4307.56,4369.69,4258.56,4285.08,249.769913,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-18 00:00:00,2017-08-18 00:00:00,4285.08,4340.62,4134.61,4292.39,276.19304299999976,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-18 04:00:00,2017-08-18 04:00:00,4292.39,4340.62,4234.43,4300.25,248.3890289999999,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-18 08:00:00,2017-08-18 08:00:00,4285.0,4371.52,4259.85,4340.31,196.14012899999997,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-18 12:00:00,2017-08-18 12:00:00,4340.31,4340.31,4193.7,4236.89,175.96938400000008,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-18 16:00:00,2017-08-18 16:00:00,4236.89,4297.75,4015.7,4136.28,193.6469700000001,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-18 20:00:00,2017-08-18 20:00:00,4135.0,4136.48,3938.77,4108.37,109.549709,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-19 00:00:00,2017-08-19 00:00:00,4108.37,4184.69,4084.28,4138.55,108.510448,-1.0,3938.77,10.0,,,,,,,,,,,-1.0,3869.1704,5653.0,0.0,0,0.0,0.0
2017-08-19 04:00:00,2017-08-19 04:00:00,4138.55,4156.0,3933.21,4033.47,112.75207900000004,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-19 08:00:00,2017-08-19 08:00:00,4033.47,4082.25,3850.0,3957.6,77.25604200000002,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-19 12:00:00,2017-08-19 12:00:00,3945.12,4100.0,3928.89,3972.05,47.515578,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-19 16:00:00,2017-08-19 16:00:00,3972.05,4103.92,3953.4,4076.12,25.925056,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-19 20:00:00,2017-08-19 20:00:00,4088.71,4149.99,4051.47,4139.98,9.35056,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-20 00:00:00,2017-08-20 00:00:00,4139.98,4139.98,4044.0,4094.62,6.611283000000002,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-20 04:00:00,2017-08-20 04:00:00,4094.62,4156.56,4081.19,4155.87,28.60391,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-20 08:00:00,2017-08-20 08:00:00,4155.87,4211.08,4032.62,4106.53,36.019943,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-20 12:00:00,2017-08-20 12:00:00,4106.53,4125.43,4063.35,4125.0,29.113266000000003,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-20 16:00:00,2017-08-20 16:00:00,4125.0,4185.94,4091.59,4164.6,169.995517,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-20 20:00:00,2017-08-20 20:00:00,4161.59,4171.62,4069.13,4086.29,196.73910299999991,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-21 00:00:00,2017-08-21 00:00:00,4069.13,4119.62,4039.0,4084.76,220.8381429999999,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-21 04:00:00,2017-08-21 04:00:00,4079.26,4104.68,3953.4,4043.63,222.5751290000001,1.0,4211.08,19.0,,1.0,4211.08,37.0,,,,,,,1.0,4410.3174,322.0,341.0,0,0.0,0.0
2017-08-21 08:00:00,2017-08-21 08:00:00,4043.63,4088.12,4000.01,4023.11,78.87831399999999,,,,,,,,,,,,,,,,,,0,0.0,0.0
2017-08-21 12:00:00,2017-08-21 12:00:00,4023.11,4023.11,3911.79,4022.0,43.76279600000001,,,,,,,,,,,,,,,,,,1,77.5,77.5
2017-08-21 16:00:00,2017-08-21 16:00:00,4022.0,4042.11,3918.8,4027.05,24.46693,,,,,,,,,,,,,,,,,,1,109.9,109.9
2017-08-21 20:00:00,2017-08-21 20:00:00,4027.05,4070.49,3950.0,4016.0,101.22174800000003,,,,,,,,,,,,,,,,,,1,107.3,109.9
